time_on_site,pages_viewed,purchased
23.1,15,1
57.1,12,0
44.2,16,1
36.3,24,1
10.2,19,1
10.2,8,0
4.4,21,0
52.1,17,1
36.5,23,1
42.8,5,0
2.2,22,0
58.2,16,1
50.1,6,0
13.5,8,0
11.7,25,1
11.8,18,0
19.0,25,1
32.0,12,0
26.5,15,0
18.2,27,1
37.1,26,1
9.2,9,0
18.2,13,0
22.6,26,1
27.9,15,1
47.3,10,0
12.8,16,0
31.3,7,0
36.0,17,1
3.7,23,0
36.8,26,1
11.1,21,1
4.8,22,0
57.0,26,1
58.0,7,0
48.7,14,1
19.0,15,1
6.8,21,1
41.4,7,0
27.0,9,0
8.2,19,1
30.2,16,1
3.0,8,0
54.6,18,1
16.3,27,1
40.1,23,1
19.4,29,1
31.7,18,1
33.3,20,1
11.9,7,0
58.2,3,0
46.7,18,1
56.4,27,1
53.8,10,1
36.3,7,0
55.4,17,1
6.2,14,0
12.6,24,1
3.7,3,0
20.2,12,0
23.9,28,1
17.0,13,0
49.9,2,0
22.0,3,0
17.6,5,0
33.0,11,0
9.3,8,0
48.3,26,1
5.4,23,0
59.2,23,1
46.6,12,1
12.7,7,0
1.3,15,0
49.1,24,1
42.7,17,1
44.0,4,0
46.5,29,1
5.4,22,0
22.1,25,1
7.8,13,0
51.9,18,1
37.8,1,0
20.5,16,1
4.7,13,0
19.3,10,0
20.2,12,0
44.0,2,0
38.6,23,1
53.3,3,0
28.9,10,0
8.1,2,0
43.1,27,1
45.9,23,1
34.1,13,0
46.5,13,1
30.1,18,1
31.8,3,0
26.2,27,1
2.5,7,0
7.4,14,0
2.9,20,0
38.5,29,1
19.5,17,1
31.0,29,1
54.5,21,1
15.7,12,0
25.2,25,1
45.6,16,1
14.5,24,1
5.5,12,0
18.1,15,0
10.5,25,1
55.9,10,1
48.7,25,1
38.4,7,0
52.4,20,1
48.4,5,0
12.0,1,0
53.7,17,1
32.8,3,0
48.6,13,1
53.9,14,1
19.8,24,1
7.5,18,0
14.4,4,0
26.2,18,1
49.3,5,0
51.8,25,1
1.4,16,0
31.1,1,0
25.6,21,1
14.1,14,0
8.1,15,0
20.9,9,0
56.6,15,1
20.1,17,0
31.6,25,1
42.5,24,1
22.5,4,0
58.3,12,1
57.8,27,1
15.9,26,1
30.3,5,0
18.8,29,1
17.8,5,0
3.2,11,0
37.0,28,1
30.7,6,0
4.0,7,0
17.4,24,1
54.6,14,1
15.1,24,1
9.5,11,0
29.9,13,0
59.2,2,0
15.3,25,1
40.7,7,0
45.9,20,1
15.0,4,0
44.0,27,1
22.7,8,0
38.3,20,1
38.4,29,1
32.6,22,1
6.3,21,0
50.3,19,1
19.9,13,0
12.0,14,0
3.4,10,0
35.9,11,0
41.0,2,0
2.0,25,1
31.2,26,1
14.4,9,0
39.1,17,1
11.3,26,1
41.8,3,0
23.8,24,1
56.3,6,0
9.1,5,0
21.1,5,0
7.7,22,1
55.6,15,1
52.8,23,1
16.2,17,1
39.9,9,0
49.2,3,0
33.8,20,1
32.2,26,1
15.3,17,1
6.5,29,1
53.9,27,1
54.1,10,1
38.4,3,0
21.0,18,1
21.6,18,1
43.8,17,1
53.9,24,1
53.3,3,0
47.0,3,0
38.9,6,0
6.0,13,0
10.5,24,1
54.0,29,1
36.8,15,1
1.5,25,0
7.0,9,0
40.1,4,0
1.3,14,0
10.5,5,0
33.4,2,0
41.8,11,0
39.5,9,0
14.2,24,0
43.0,3,0
15.0,27,1
20.2,28,1
45.0,29,1
39.3,9,0
51.1,3,0
39.8,25,1
34.5,2,0
6.5,12,0
22.7,10,0
16.6,9,0
15.4,15,0
58.4,8,1
24.2,25,1
53.6,5,0
38.2,11,0
47.9,27,1
30.7,2,0
35.0,24,1
30.1,28,1
12.5,15,1
43.6,6,0
17.6,8,0
2.4,27,0
39.1,5,0
11.4,16,0
56.5,26,1
57.3,18,1
55.0,6,0
22.8,5,0
1.9,28,1
55.8,16,1
26.3,13,0
58.0,28,1
57.9,5,0
51.3,13,1
18.4,17,0
23.7,18,0
51.2,8,0
19.7,13,0
11.0,29,1
33.9,19,1
56.2,26,1
42.1,3,0
34.6,24,1
6.7,8,0
37.3,2,0
59.4,8,1
9.3,27,1
31.6,13,0
52.8,13,1
44.7,1,0
42.1,6,0
42.4,24,1
22.2,19,1
18.3,16,1
48.8,8,0
48.8,28,1
52.2,1,0
54.9,27,1
31.2,27,1
30.6,16,1
48.1,9,1
39.3,13,1
42.4,11,1
48.0,13,1
53.5,25,1
20.9,21,1
23.2,10,0
6.5,4,0
35.1,27,1
3.1,6,0
28.5,28,1
33.0,7,0
17.9,5,0
35.9,11,1
2.8,13,0
3.2,26,1
49.5,25,1
22.3,19,1
8.5,23,1
31.8,10,0
46.4,10,1
13.7,11,0
37.8,21,1
6.0,7,0
4.0,18,0
32.3,4,0
32.9,2,0
38.6,14,0
43.8,13,1
58.6,29,1
31.5,12,0
20.1,7,0
47.9,2,0
17.0,13,0
26.9,14,1
5.6,27,1
2.5,17,0
57.8,9,1
50.3,17,1
42.1,8,0
25.1,2,0
11.2,28,1
10.2,24,1
15.8,13,0
33.4,3,0
43.2,16,1
40.0,6,0
17.5,19,0
57.3,7,0
44.5,10,0
33.7,9,0
37.1,2,0
25.8,28,1
15.6,28,1
22.0,15,0
45.7,5,0
1.8,29,0
7.8,22,0
3.7,4,0
3.4,20,0
51.5,4,0
42.5,18,1
29.0,4,0
6.8,27,1
30.0,17,1
28.9,12,0
11.2,22,1
26.6,17,0
24.5,10,0
37.3,22,1
38.5,1,0
3.7,22,0
23.1,26,1
37.9,24,1
30.7,27,1
51.5,18,1
39.9,18,1
10.6,14,0
5.2,15,0
38.9,29,1
2.6,12,0
35.6,4,0
56.5,27,1
35.0,3,0
23.9,20,1
39.0,29,1
28.0,12,0
33.2,7,0
56.5,29,1
23.8,11,0
57.7,1,0
54.4,6,0
12.6,15,0
5.1,15,0
6.9,19,0
2.1,11,0
6.6,26,1
41.3,23,1
5.2,26,0
19.8,2,0
50.8,14,1
2.4,2,0
49.1,29,1
17.6,4,0
8.0,17,0
42.1,3,0
38.1,13,1
52.8,9,1
44.4,7,0
48.4,15,1
17.6,23,1
11.5,29,1
45.3,29,1
48.6,11,1
59.4,20,1
25.3,2,0
22.9,15,0
46.8,14,1
21.1,20,1
55.9,22,1
51.6,11,1
26.3,27,1
45.3,3,0
45.5,17,1
7.1,12,0
54.3,24,1
30.8,28,1
49.8,29,1
19.9,21,1
53.8,15,1
24.0,16,0
1.6,5,0
54.4,27,1
6.4,20,0
19.8,6,0
57.1,19,1
57.1,25,1
34.8,5,0
38.3,3,0
27.5,27,1
18.3,1,0
20.4,26,1
40.7,28,1
45.4,6,0
47.7,15,1
47.6,2,0
6.4,29,1
30.2,3,0
4.4,17,0
33.4,25,1
27.1,24,1
53.4,12,1
21.7,18,1
7.9,15,0
9.4,12,0
45.9,16,1
37.5,27,1
7.0,8,0
6.0,28,0
42.4,14,1
5.3,25,0
49.5,17,1
42.7,29,1
5.8,21,0
6.0,8,0
59.2,15,1
23.1,27,1
22.9,14,1
49.0,18,1
56.9,20,1
59.2,7,0
45.4,3,0
23.2,29,1
5.9,12,0
46.9,21,1
33.9,24,1
26.0,28,1
54.5,26,1
7.6,3,0
30.1,20,1
1.7,14,0
28.7,15,1
4.3,25,1
8.0,14,0
7.9,7,0
39.3,17,1
45.0,12,0
35.4,20,1
57.8,4,0
23.1,9,0
17.9,6,0
52.2,16,1
14.2,25,1
57.8,28,1
1.7,22,0
58.2,22,1
3.5,21,0
53.6,21,1
32.1,2,0
59.6,24,1
5.4,8,0
33.7,11,1
58.2,13,1
31.9,17,1
38.1,8,0
42.0,21,1
27.8,18,1
38.0,18,1
35.5,14,1
54.2,15,1
3.7,6,0
17.6,11,0
57.1,13,1
53.5,25,1
27.9,1,0
37.6,28,1
17.4,6,0
12.1,9,0
28.4,8,0
21.8,11,0
35.4,22,1
5.6,19,0
58.5,24,1
59.2,9,1
42.2,17,1
32.6,12,0
19.3,25,1
49.0,14,1
41.4,15,1
10.6,16,0
54.7,22,1
49.5,22,1
57.0,28,1
43.8,20,1
37.2,1,0
25.7,10,0
56.0,8,0
52.1,18,1
3.7,28,0
2.6,1,0
23.2,2,0
48.8,1,0
59.2,1,0
9.9,9,0
36.1,13,0
23.5,1,0
58.2,13,1
50.7,20,1
50.5,26,1
28.7,22,1
25.5,7,0
17.1,2,0
4.3,6,0
52.0,7,1
49.0,26,1
60.0,14,1
59.8,26,1
33.8,18,1
46.4,15,1
56.7,2,0
51.1,10,1
15.6,23,1
27.6,12,0
8.6,17,1
57.3,8,0
36.8,11,1
14.5,29,1
40.6,3,0
37.5,27,1
22.1,6,0
7.7,9,0
40.6,6,0
31.7,9,0
46.6,7,0
31.7,9,0
51.3,18,1
33.6,12,0
34.1,8,0
52.7,8,0
24.8,18,1
8.9,28,1
2.7,20,0
45.6,15,1
37.6,27,1
42.5,7,0
13.6,11,0
9.0,20,1
1.9,16,0
21.7,4,0
35.8,6,0
24.1,26,1
26.8,22,1
54.3,26,1
21.5,3,0
31.3,9,0
47.2,28,1
24.4,10,0
37.7,14,1
51.9,11,1
57.0,18,1
9.7,22,0
55.7,12,1
30.0,23,1
16.2,12,0
28.1,13,0
58.8,25,1
30.1,13,1
20.4,19,0
38.4,26,1
15.2,19,0
5.5,23,0
8.6,14,0
8.6,4,0
10.0,13,0
9.2,8,0
38.8,29,1
11.7,23,0
21.4,21,1
53.9,23,1
29.0,19,1
40.4,12,1
11.2,18,1
12.3,6,0
3.4,18,0
11.0,19,1
17.4,22,1
11.4,5,0
6.2,24,1
8.1,9,0
28.2,27,1
13.2,3,0
22.5,28,1
30.7,10,0
41.7,19,1
3.3,3,0
48.2,29,1
38.0,29,1
5.8,22,1
52.5,15,1
55.3,1,0
4.6,7,0
17.3,12,0
48.6,17,1
45.1,21,1
11.9,26,1
13.4,29,1
22.9,24,1
29.6,20,1
37.5,5,0
22.8,4,0
28.3,28,1
45.1,12,1
3.2,20,0
15.9,28,1
43.1,24,1
53.8,18,1
31.2,17,1
32.4,19,1
7.3,9,0
27.4,4,0
32.4,26,1
15.3,21,0
16.9,2,0
23.3,4,0
2.2,2,0
20.0,15,0
13.5,2,0
20.3,4,0
8.1,6,0
53.5,7,0
36.0,10,0
41.1,19,1
47.6,19,1
30.4,26,1
6.1,22,1
32.7,29,1
35.6,12,0
45.0,3,0
26.5,13,1
8.5,18,1
17.7,8,0
22.4,21,1
39.1,15,1
34.7,1,0
22.0,3,0
59.2,26,1
36.7,8,0
15.0,4,0
7.0,16,0
10.0,23,1
15.5,10,0
10.5,12,0
12.0,14,0
17.8,14,0
11.2,2,0
53.9,23,1
5.7,5,0
31.9,5,0
25.2,6,0
59.0,13,1
7.6,9,0
24.5,22,1
58.2,28,1
52.1,29,1
49.2,15,1
16.2,14,0
11.1,24,0
40.4,7,0
55.8,25,1
33.8,20,1
34.7,2,0
17.5,7,0
46.4,6,0
12.0,17,0
20.1,27,1
26.1,25,1
30.9,25,1
15.3,28,1
7.8,2,0
37.0,3,0
18.0,5,0
35.3,5,0
10.1,1,0
29.4,8,0
32.4,12,0
4.1,24,0
20.9,4,0
8.9,13,0
4.7,23,1
59.4,15,1
20.0,11,0
