region,channel,ad_spend,discount,sales
East,Online,25971.0,15.09,62859.0
West,Retail,7366.0,12.39,24431.0
North,Online,29262.0,5.95,72934.0
East,Online,23613.0,8.61,62437.0
East,Retail,4313.0,3.41,27336.0
West,Online,17408.0,1.49,53514.0
North,Retail,29576.0,15.65,62827.0
North,Online,14661.0,5.31,49777.0
East,Wholesale,6281.0,3.56,25161.0
South,Wholesale,15059.0,13.83,39369.0
East,Online,15861.0,12.36,42999.0
East,Online,22509.0,12.66,54117.0
East,Online,21267.0,4.58,55149.0
East,Wholesale,12674.0,4.65,36056.0
West,Online,7323.0,4.42,31372.0
North,Wholesale,19707.0,3.48,52190.0
West,Retail,13229.0,13.11,33305.0
West,Wholesale,4836.0,16.96,15238.0
West,Wholesale,27117.0,14.49,53898.0
East,Retail,21045.0,15.84,44343.0
South,Wholesale,20812.0,8.1,44532.0
North,Online,24855.0,13.08,64124.0
South,Online,16360.0,7.08,47319.0
West,Wholesale,24637.0,10.51,46524.0
West,Online,15445.0,9.63,45276.0
South,Wholesale,2948.0,3.54,23178.0
South,Online,12752.0,7.74,36936.0
South,Online,15426.0,19.28,39135.0
West,Wholesale,21886.0,4.97,48489.0
West,Online,4091.0,2.68,26909.0
North,Wholesale,5061.0,8.37,18427.0
North,Online,8647.0,15.81,30445.0
West,Online,8728.0,11.64,31834.0
South,Retail,22233.0,13.62,52917.0
South,Retail,8271.0,3.79,30272.0
North,Wholesale,19360.0,12.38,44641.0
West,Retail,15334.0,6.47,34588.0
North,Wholesale,17626.0,16.69,38109.0
North,Retail,25305.0,12.59,56846.0
East,Online,12727.0,3.98,39825.0
East,Wholesale,23356.0,1.29,56574.0
East,Wholesale,13239.0,0.85,37380.0
South,Online,11262.0,7.43,37073.0
West,Wholesale,28800.0,5.32,65788.0
West,Wholesale,6347.0,12.92,16745.0
West,Retail,3620.0,9.99,12372.0
West,Wholesale,23359.0,5.32,50281.0
East,Online,2979.0,2.98,26623.0
South,Retail,25275.0,2.54,62259.0
South,Retail,13679.0,17.29,33195.0
East,Online,27550.0,4.87,72057.0
South,Online,21924.0,13.03,52389.0
East,Retail,18702.0,16.21,48715.0
West,Wholesale,28530.0,12.28,60669.0
East,Retail,12503.0,17.19,23340.0
West,Online,28669.0,7.85,72081.0
West,Retail,4915.0,19.12,11986.0
North,Online,15029.0,2.66,45620.0
East,Retail,8827.0,2.04,33440.0
North,Wholesale,16655.0,13.17,35179.0
East,Retail,5698.0,18.86,15740.0
East,Retail,25404.0,16.18,59308.0
North,Online,25546.0,1.53,69886.0
North,Online,28702.0,5.59,74305.0
East,Online,5485.0,18.61,19597.0
South,Retail,19077.0,5.06,43193.0
West,Wholesale,14753.0,15.62,33866.0
North,Online,10987.0,16.5,37317.0
West,Online,11195.0,9.91,36851.0
South,Retail,12971.0,7.73,36110.0
South,Online,21443.0,9.0,51196.0
South,Wholesale,18350.0,4.54,52073.0
North,Wholesale,14331.0,17.79,35340.0
South,Online,3202.0,9.01,20737.0
North,Online,3255.0,17.65,19526.0
South,Retail,1068.0,2.11,17316.0
West,Wholesale,29063.0,19.77,58637.0
West,Wholesale,1152.0,8.87,11207.0
East,Online,3990.0,0.96,30278.0
West,Retail,10123.0,0.76,33296.0
East,Wholesale,24415.0,14.92,51150.0
West,Wholesale,28901.0,13.18,60356.0
North,Retail,23910.0,16.04,55828.0
West,Retail,21026.0,2.11,51283.0
East,Wholesale,16118.0,0.71,41410.0
East,Wholesale,3514.0,10.17,17265.0
