age,income,txn_count,avg_txn_value,risk_level
47,105000,20,436.37,High
48,93000,20,375.77,High
37,45000,6,192.57,Low
50,80000,20,569.54,High
39,42000,8,143.6,Low
47,63000,21,524.42,High
35,54000,10,434.97,Medium
46,70000,9,418.4,Medium
67,106000,24,394.93,High
30,84000,16,452.75,Medium
24,40000,6,169.51,Low
39,74000,12,321.89,Medium
59,99000,26,611.96,High
24,39000,7,99.9,Low
59,46000,7,251.84,Medium
45,87000,16,361.73,Medium
19,35000,9,144.01,Low
40,61000,10,347.07,Medium
59,116000,25,467.58,High
46,66000,13,404.08,Medium
63,78000,25,471.3,High
45,83000,16,307.65,Medium
56,106000,22,561.13,High
64,114000,30,509.85,High
32,58000,18,420.78,Medium
30,42000,7,191.46,Low
32,55000,11,159.03,Low
76,91000,26,505.63,High
56,104000,19,339.03,High
70,99000,34,512.01,High
40,50000,4,99.39,Low
19,53000,7,153.67,Low
33,94000,33,721.87,High
47,66000,15,211.48,Medium
28,45000,4,278.5,Low
22,59000,8,17.03,Low
46,130000,28,586.6,High
32,62000,17,339.15,Medium
53,88000,28,456.68,High
64,73000,22,573.91,High
29,32000,10,62.33,Low
25,55000,6,148.45,Low
28,43000,6,68.52,Low
43,100000,19,357.41,Medium
67,126000,27,481.03,High
45,76000,6,110.42,Medium
37,73000,16,178.08,Medium
48,122000,22,393.95,High
71,89000,35,572.91,High
42,95000,26,420.95,High
26,47000,9,61.86,Low
33,32000,12,138.69,Low
58,99000,20,370.27,High
47,69000,13,354.52,Medium
40,63000,12,317.77,Medium
36,89000,8,228.43,Medium
50,73000,13,321.36,Medium
46,71000,18,385.24,Medium
39,41000,9,99.79,Low
24,45000,11,161.71,Low
41,77000,16,248.98,Medium
50,83000,29,433.34,High
66,84000,28,433.73,High
44,73000,16,178.74,Medium
24,41000,11,124.12,Low
41,70000,15,395.07,Medium
25,55000,17,141.64,Low
56,119000,19,401.97,High
40,89000,16,351.64,Medium
38,42000,10,160.96,Low
52,98000,26,442.38,High
28,49000,2,123.71,Low
67,94000,28,326.24,High
18,49000,7,124.9,Low
31,44000,9,87.42,Low
35,44000,9,205.86,Low
41,81000,19,245.89,Medium
52,69000,12,185.54,Medium
51,57000,23,309.93,High
61,111000,29,551.05,High
33,69000,10,420.27,Medium
32,43000,4,151.34,Low
27,38000,6,219.97,Low
32,46000,14,117.65,Low
32,62000,19,537.2,Medium
54,76000,27,590.4,High
50,99000,24,611.95,High
46,42000,16,227.87,Medium
39,97000,14,364.04,Medium
28,50000,8,87.31,Low
54,118000,21,592.6,High
32,118000,19,291.23,High
30,87000,18,296.25,Medium
43,71000,13,197.36,Medium
42,86000,27,458.16,High
52,89000,26,749.21,High
52,91000,21,587.32,High
55,110000,22,490.31,High
32,48000,5,205.41,Low
46,107000,40,373.59,High
24,64000,10,159.88,Low
43,54000,17,353.47,Medium
24,48000,12,179.87,Low
31,42000,3,218.79,Low
22,31000,7,232.1,Low
33,38000,6,262.62,Low
50,43000,15,354.4,Medium
59,90000,34,547.05,High
27,51000,7,225.73,Low
45,61000,10,173.06,Medium
33,78000,15,312.84,Medium
33,91000,16,293.99,Medium
30,46000,10,114.08,Low
32,42000,8,212.39,Low
64,127000,26,675.14,High
19,48000,8,149.9,Low
43,94000,12,253.47,Medium
46,82000,16,353.13,High
29,29000,11,177.92,Low
28,50000,9,103.97,Low
32,65000,15,485.55,Medium
42,73000,10,275.27,Medium
31,55000,4,154.36,Low
60,78000,24,307.88,High
32,45000,13,90.6,Low
26,35000,12,215.65,Low
50,91000,38,491.54,High
30,46000,7,51.23,Low
38,92000,10,250.93,Medium
52,87000,30,520.45,High
62,65000,25,335.97,High
38,52000,19,155.84,Medium
25,20000,4,100.29,Low
54,56000,31,747.27,High
31,69000,13,115.78,Medium
36,57000,13,117.89,Medium
42,87000,31,489.4,High
46,91000,21,397.16,Medium
49,98000,25,510.64,High
52,67000,8,307.2,Medium
23,58000,6,209.29,Low
60,115000,27,409.18,High
37,66000,16,336.47,Medium
38,39000,11,196.39,Low
38,34000,11,137.57,Low
51,77000,18,358.79,Medium
28,32000,7,211.91,Low
40,75000,16,436.18,Medium
59,60000,27,483.39,High
45,91000,30,397.94,High
68,103000,27,643.6,High
