temperature,pressure,vibration,humidity,speed,quality
79.33,85.75,30.07,49.39,1481.77,0
81.14,105.84,22.14,56.41,1569.29,0
81.32,114.97,23.19,49.49,1545.04,0
74.46,106.54,24.01,44.47,1636.49,0
79.27,107.35,27.65,50.08,1535.63,0
80.89,104.6,25.16,48.54,1533.85,0
78.33,105.32,20.03,47.67,1581.35,0
98.72,90.71,27.55,48.42,1583.4,1
75.19,108.89,23.42,51.42,1597.82,0
77.75,109.6,25.41,49.58,1519.72,0
77.16,96.22,27.15,51.07,1488.98,0
81.54,105.05,27.14,45.36,1568.88,0
74.3,107.72,22.44,54.9,1563.81,0
76.91,104.72,26.02,41.7,1622.37,0
75.55,119.09,26.34,47.42,1543.16,0
79.53,113.0,29.17,52.96,1651.46,0
85.66,120.45,28.52,45.84,1647.58,0
78.03,86.99,23.79,52.4,1590.87,0
84.05,105.86,19.88,48.74,1617.78,0
83.5,108.98,25.87,49.99,1555.2,0
80.86,118.03,24.97,42.48,1606.69,0
83.06,93.38,27.43,47.3,1649.04,0
73.24,99.47,27.75,49.81,1643.57,0
83.69,107.55,23.75,44.55,1600.84,0
84.05,101.15,23.72,51.99,1597.27,0
72.82,110.3,25.63,57.0,1611.19,0
79.42,104.14,21.92,53.1,1538.01,0
79.57,108.37,24.92,51.5,1601.57,0
82.23,93.69,25.34,51.5,1723.85,0
79.76,110.99,32.27,46.52,1600.55,0
75.29,115.21,30.15,51.3,1571.16,0
70.29,88.01,32.92,52.82,1589.52,1
83.98,112.6,27.7,47.25,1593.74,0
77.71,93.27,25.47,49.01,1669.56,0
84.51,96.82,23.65,47.83,1600.96,0
75.06,113.31,31.41,53.97,1492.77,0
83.39,105.61,28.71,45.81,1482.05,0
81.89,107.34,22.53,51.98,1580.88,0
76.66,97.57,25.89,56.44,1573.38,0
79.78,103.57,27.03,48.38,1571.05,0
78.04,99.04,25.58,47.94,1556.08,0
81.72,112.72,26.15,49.24,1629.05,0
86.89,110.0,21.15,51.62,1580.94,0
89.22,99.98,30.28,51.45,1584.94,0
72.99,103.04,22.54,54.54,1552.4,0
85.83,115.09,27.69,45.13,1644.52,0
78.43,98.7,28.82,53.33,1522.5,0
74.31,111.69,26.68,53.32,1668.27,0
72.14,107.43,21.62,48.73,1571.93,0
74.81,109.22,25.04,54.75,1635.1,0
85.82,97.86,28.57,49.74,1556.93,0
