recency_days,txn_count,avg_basket_value,total_spend,returns_count,repeat_purchase
155,4,91.58,331.21,3,0
36,4,75.35,279.66,1,0
24,13,103.67,1376.68,0,1
153,4,62.22,258.04,1,0
1,23,82.05,1894.64,1,1
23,11,152.76,1527.52,0,1
34,4,66.48,243.3,3,0
19,19,108.45,1884.97,0,1
109,3,37.87,118.84,3,0
22,18,84.11,1512.17,1,1
25,1,31.62,31.68,2,0
4,11,151.27,1551.28,4,1
120,5,52.16,277.38,1,0
9,14,76.09,1030.73,1,1
19,26,62.44,1553.5,0,1
11,9,119.2,1160.44,0,1
50,5,43.96,225.63,2,0
6,13,161.52,2137.94,1,1
4,18,92.42,1808.81,0,1
25,7,91.0,604.1,0,0
35,18,158.98,3088.95,3,1
122,2,42.66,78.51,1,0
55,5,83.17,428.3,3,0
33,6,43.59,261.66,2,0
5,16,116.28,2034.05,2,1
105,3,74.81,244.0,2,0
70,13,130.73,1766.5,1,1
94,9,71.22,690.94,1,0
58,1,106.29,101.76,1,0
97,2,22.65,45.51,2,0
22,7,46.76,323.35,0,0
167,4,77.05,287.02,2,0
5,18,74.42,1300.95,1,1
22,1,50.32,53.89,2,0
10,13,168.97,2255.99,0,1
64,4,31.4,114.8,1,0
43,18,101.55,1844.5,1,1
36,13,183.34,2193.11,0,1
71,2,48.21,89.06,5,0
82,6,76.99,501.75,4,0
11,21,112.82,2137.5,1,1
154,5,77.08,372.19,4,0
1,17,110.73,1738.2,0,1
15,12,144.11,1798.88,0,1
19,11,154.63,1853.09,2,1
87,4,50.45,201.51,0,0
1,12,158.13,1929.25,1,1
111,3,75.42,247.51,0,0
12,17,107.04,1866.13,2,1
155,5,97.2,482.47,2,0
65,19,148.51,2925.99,0,1
26,18,102.69,2008.45,1,1
41,5,57.71,283.63,1,0
26,18,157.13,3080.02,1,1
3,25,141.35,3617.2,0,1
70,7,37.51,257.48,0,0
83,4,25.38,100.26,3,0
63,6,88.89,528.96,3,0
23,2,37.97,73.61,3,0
21,2,69.75,130.5,0,0
47,3,57.96,184.3,1,0
39,10,121.26,1286.9,1,1
40,5,71.53,358.49,1,0
12,14,129.34,1766.28,0,1
30,2,64.36,133.34,2,0
14,20,147.32,2726.88,0,1
66,5,46.99,220.21,1,0
2,17,105.39,1964.41,0,1
177,4,70.57,285.47,2,0
37,4,64.15,262.28,2,0
12,12,101.94,1267.7,2,1
7,23,142.81,3590.06,0,1
42,13,134.64,1870.0,0,1
4,13,167.4,2313.17,1,1
114,5,81.03,405.38,2,0
36,18,94.69,1854.42,1,1
91,5,38.17,200.17,0,0
22,22,95.49,2235.76,0,1
3,16,107.18,1791.07,2,1
5,15,103.42,1678.04,1,1
45,13,193.37,2271.56,3,1
19,13,123.88,1644.77,1,1
39,16,121.67,1982.29,1,1
93,1,81.88,79.16,3,0
80,3,55.09,165.2,3,0
1,19,111.82,2320.46,0,1
2,18,96.52,1875.74,0,1
21,3,73.49,232.61,2,0
13,13,77.77,1040.19,1,1
76,2,44.44,83.94,2,0
92,3,55.19,172.94,4,0
121,1,52.5,48.15,1,0
59,5,86.32,411.56,3,0
153,4,24.94,107.62,2,0
55,3,34.23,98.02,0,0
2,18,123.02,2238.44,2,1
26,6,56.84,333.06,1,0
80,3,76.13,223.34,1,0
6,18,134.8,2539.25,0,1
