customer_id,total_spend,txn_count,recency_days
C00522,1815.19,21,24
C00738,607.78,5,55
C00741,52.35,4,84
C00661,2012.69,10,88
C00412,2927.05,16,24
C00679,1024.16,4,107
C00627,2346.74,14,35
C00514,1689.58,15,14
C00860,558.54,4,64
C00137,4124.38,52,5
C00812,865.54,4,33
C00077,4018.49,40,1
C00637,1251.74,14,19
C00974,453.54,3,245
C00939,555.8,3,52
C00900,268.6,5,147
C00281,4975.65,51,3
C00884,205.15,3,82
C00762,298.27,3,135
C00320,3354.6,58,27
C00550,1590.37,22,82
C00175,3710.04,54,3
C00372,1193.22,15,27
C00528,529.81,12,23
C00211,4272.86,59,31
C00236,6795.88,56,9
C00102,5401.71,65,36
C00987,692.4,4,52
C00903,574.67,3,95
C00948,456.88,3,111
C00347,2066.77,20,11
C00140,4512.87,58,8
C00622,2334.37,20,10
C00500,1874.98,18,37
C00371,1314.05,17,76
C00199,5195.85,46,11
C00688,922.03,3,117
C00585,2094.85,20,29
C00902,610.16,3,52
C00060,6135.57,47,1
C00329,3597.39,48,16
C00097,4281.56,55,6
C00313,5597.4,55,18
C00975,978.15,3,34
C00300,4962.78,42,28
C00278,5197.6,54,1
C00925,215.77,4,52
C00602,1789.62,24,25
C00440,2574.22,20,40
C00838,757.3,4,52
C00571,1948.37,20,11
C00880,913.58,4,31
C00262,6443.76,55,19
C00579,1196.17,17,12
C00024,3012.43,54,1
C00031,5257.55,64,7
C00618,2443.83,19,69
C00011,5822.54,47,8
C00222,3514.44,50,17
C00821,323.79,4,108
C00297,4678.36,56,9
C00055,5173.18,51,10
C00543,2238.18,17,14
C00210,6770.8,53,9
C00605,1110.71,16,14
C00693,348.38,4,34
C00663,1371.75,13,12
C00867,172.48,5,58
C00071,3480.63,48,1
C00544,2252.74,20,30
C00108,4400.61,51,17
C00494,2180.75,13,26
C00591,2372.1,20,24
C00742,75.86,5,31
C00293,4953.08,45,2
C00290,6172.73,50,9
C00653,1709.97,23,16
C00040,6549.93,57,11
C00590,1773.95,19,20
C00308,5217.43,53,10
C00680,277.61,7,66
C00067,4207.48,56,6
C00276,4353.06,55,17
C00068,4885.26,44,3
C00319,3610.43,51,10
C00549,1327.06,21,56
C00999,451.46,3,33
C00715,273.88,5,127
C00754,421.51,2,40
C00328,4570.59,58,3
C00383,2227.94,20,127
C00452,2273.37,15,51
C00523,1547.13,20,31
C00219,5222.13,47,1
C00788,432.3,2,95
C00437,1854.09,17,33
C00765,584.67,2,80
C00089,5324.17,62,10
C00064,6088.95,45,1
C00827,783.65,3,52
C00717,557.73,3,54
C00352,1950.56,20,20
C00937,611.46,3,268
C00257,5243.8,52,31
C00636,1620.75,19,22
C00645,1234.45,16,16
C00555,2000.26,16,17
