area,bedrooms,bathrooms,age,distance_to_city,garage_size,price
2185.43,2,3,36,10.37,1,402000.0
4778.21,6,4,47,23.52,1,822000.0
3793.97,4,1,30,22.12,3,510000.0
3193.96,6,2,24,15.92,1,609000.0
1202.08,1,2,3,10.71,0,233000.0
1201.98,2,1,34,4.22,1,241000.0
761.38,1,1,29,44.47,1,100000.0
4397.79,6,4,50,21.57,3,653000.0
3205.02,6,4,12,25.35,2,757000.0
3686.33,6,2,27,45.93,2,609000.0
592.63,2,2,33,39.04,0,100000.0
4864.59,6,3,32,7.39,2,703000.0
4245.99,5,4,28,28.71,3,810000.0
1455.53,2,3,39,22.67,1,262000.0
1318.21,2,1,10,40.06,1,210000.0
1325.32,2,2,36,36.49,1,273000.0
1869.09,2,2,31,34.83,0,282000.0
2861.4,2,2,45,17.69,0,420000.0
2443.75,4,4,42,40.44,1,390000.0
1810.53,2,2,16,3.57,1,324000.0
3253.34,4,1,14,8.82,3,498000.0
1127.72,1,1,49,17.45,0,100000.0
1814.65,4,4,26,4.76,2,472000.0
2148.63,4,3,45,12.51,1,453000.0
2552.31,2,1,8,41.68,1,349000.0
4033.29,4,3,32,47.46,3,673000.0
1398.53,1,2,40,15.93,1,208000.0
2814.05,3,3,47,13.96,1,540000.0
3165.87,6,4,17,14.71,1,692000.0
709.03,2,2,36,14.61,1,117000.0
3233.95,5,3,27,2.76,3,679000.0
1267.36,1,1,3,46.42,0,114000.0
792.73,1,1,34,11.47,0,153000.0
4769.98,6,4,35,21.58,1,812000.0
4845.34,4,4,47,1.47,3,742000.0
4137.79,5,1,25,43.04,2,617000.0
1870.76,2,1,12,36.83,0,293000.0
939.52,1,2,2,47.39,0,144000.0
3579.05,6,4,21,39.3,1,685000.0
2480.69,2,2,15,16.37,1,465000.0
1049.17,1,2,38,13.15,1,103000.0
2728.3,3,4,18,35.19,2,514000.0
654.75,1,2,47,18.84,1,114000.0
4591.94,4,2,48,28.74,3,573000.0
1664.51,2,3,31,1.31,2,357000.0
3481.35,6,1,46,4.03,3,588000.0
1902.7,4,1,38,27.23,2,398000.0
2840.31,2,2,27,28.74,2,352000.0
2960.2,3,1,9,37.82,0,455000.0
1331.85,2,2,23,7.47,1,315000.0
4863.13,5,4,28,26.15,1,837000.0
3988.1,6,4,43,10.53,3,794000.0
4727.75,5,4,24,5.57,2,818000.0
4526.72,4,4,45,21.11,1,653000.0
3190.55,6,1,34,9.0,1,666000.0
4648.43,4,4,7,11.87,3,784000.0
898.22,1,2,50,16.56,0,100000.0
1381.92,2,1,26,13.71,0,235000.0
703.52,2,1,20,5.29,1,136000.0
1963.99,3,2,33,5.41,0,288000.0
2249.05,4,4,5,10.47,0,451000.0
1721.07,4,2,32,3.48,0,341000.0
4229.32,5,4,25,31.7,3,767000.0
2105.39,2,2,20,15.08,2,367000.0
1764.21,2,3,48,14.71,0,304000.0
2942.13,2,3,26,17.27,2,481000.0
1134.16,1,1,11,33.48,0,128000.0
4109.89,6,4,23,43.66,2,772000.0
835.48,1,2,46,38.2,0,100000.0
4940.99,5,2,9,36.65,3,873000.0
3975.1,5,4,11,24.74,3,788000.0
1394.22,2,3,1,35.0,0,270000.0
524.85,1,2,1,28.09,1,103000.0
4169.58,6,1,41,11.6,1,600000.0
3680.86,4,4,37,11.22,2,677000.0
3780.53,4,4,18,15.52,1,696000.0
3970.72,5,1,35,45.63,1,610000.0
833.2,1,1,20,27.82,1,110000.0
2113.1,3,4,48,36.96,0,419000.0
1021.41,1,2,48,17.98,1,100000.0
4383.97,4,3,20,20.98,1,736000.0
3304.84,5,4,43,7.15,2,646000.0
1989.04,3,2,39,9.39,1,312000.0
786.01,1,2,15,41.54,1,166000.0
1899.42,2,3,12,29.66,2,388000.0
1963.32,3,1,23,17.54,0,331000.0
3783.23,4,4,39,40.34,2,624000.0
3369.01,5,4,48,13.08,2,636000.0
4492.46,4,2,38,48.83,2,743000.0
2624.97,4,1,43,17.9,0,448000.0
1038.17,2,3,30,17.53,0,252000.0
3709.6,5,4,42,16.28,2,687000.0
3923.53,4,2,39,6.98,1,637000.0
3025.75,4,3,19,6.45,2,614000.0
3969.35,5,4,28,32.76,2,720000.0
2722.08,4,4,40,43.88,2,493000.0
2852.3,2,2,2,39.74,1,417000.0
2423.93,2,2,40,7.91,1,175000.0
614.39,2,2,9,27.73,1,206000.0
985.51,1,1,26,6.17,0,100000.0
641.43,2,1,40,3.22,0,190000.0
3363.85,5,2,13,33.16,3,649000.0
1914.6,3,1,12,27.22,0,260000.0
2788.57,3,2,20,5.02,0,441000.0
4584.05,6,4,45,2.71,3,794000.0
1621.82,4,3,0,49.5,1,446000.0
2346.72,3,3,45,2.47,2,437000.0
3899.98,6,2,8,22.78,1,780000.0
1529.59,2,1,50,25.73,2,159000.0
846.41,1,2,48,6.75,1,114000.0
1803.88,2,1,25,9.28,2,223000.0
1225.5,2,3,26,18.24,0,278000.0
4683.64,5,3,24,38.32,1,768000.0
