tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,churn
48,105.0,5195.75,Month-to-Month,Credit Card,No,1
57,39.62,2251.79,Two Year,UPI AutoPay,Fiber Optic,0
18,32.55,605.5,One Year,Debit Card,Fiber Optic,0
45,116.35,5327.61,One Year,Credit Card,DSL,0
41,30.8,1310.37,Month-to-Month,Debit Card,DSL,0
60,67.85,3880.28,Month-to-Month,Credit Card,Fiber Optic,0
65,78.56,5020.13,Month-to-Month,Electronic Check,Fiber Optic,0
1,74.14,231.07,Two Year,Debit Card,DSL,1
48,28.6,1384.21,One Year,Debit Card,DSL,0
4,25.7,67.92,One Year,UPI AutoPay,DSL,0
39,30.55,1085.13,Month-to-Month,Debit Card,Fiber Optic,1
21,78.56,1574.91,Two Year,Debit Card,Fiber Optic,0
22,74.43,1493.52,Two Year,Electronic Check,DSL,0
26,43.37,1120.2,Month-to-Month,Debit Card,DSL,1
45,83.78,3719.5,Month-to-Month,Electronic Check,DSL,0
24,102.01,2424.7,Month-to-Month,Electronic Check,No,1
53,24.16,1274.08,Month-to-Month,Electronic Check,DSL,0
29,69.81,2111.34,Month-to-Month,Electronic Check,Fiber Optic,1
5,88.93,729.84,Month-to-Month,Credit Card,Fiber Optic,0
56,45.23,2411.02,Month-to-Month,UPI AutoPay,Fiber Optic,0
21,50.78,1196.92,One Year,Credit Card,DSL,0
31,81.36,2678.69,Month-to-Month,Debit Card,DSL,0
49,109.79,5375.15,Month-to-Month,Credit Card,Fiber Optic,0
24,100.99,2505.18,Month-to-Month,Credit Card,Fiber Optic,0
5,78.31,347.18,Month-to-Month,Debit Card,Fiber Optic,0
27,93.02,2581.18,One Year,Debit Card,Fiber Optic,0
68,56.48,3994.86,Month-to-Month,Debit Card,DSL,0
46,84.1,3976.36,Month-to-Month,Credit Card,No,0
48,66.62,3293.5,One Year,Credit Card,Fiber Optic,0
45,38.99,1746.47,Month-to-Month,Debit Card,DSL,1
15,90.17,1215.78,One Year,UPI AutoPay,No,0
30,75.65,2301.63,Month-to-Month,UPI AutoPay,Fiber Optic,1
54,55.86,3154.91,Month-to-Month,Electronic Check,Fiber Optic,0
8,111.13,758.3,Two Year,Debit Card,Fiber Optic,0
20,22.09,352.43,Two Year,Electronic Check,No,0
20,51.58,1076.08,Two Year,UPI AutoPay,Fiber Optic,0
31,25.69,715.16,Month-to-Month,Electronic Check,DSL,1
70,96.65,6745.03,Month-to-Month,Debit Card,DSL,0
5,90.21,480.2,One Year,Debit Card,No,0
37,53.14,1873.43,Month-to-Month,Debit Card,DSL,0
13,87.57,1105.3,Month-to-Month,Credit Card,Fiber Optic,0
69,59.59,4237.02,Month-to-Month,Electronic Check,Fiber Optic,0
9,95.63,734.15,Month-to-Month,UPI AutoPay,Fiber Optic,0
29,65.42,1780.24,Two Year,UPI AutoPay,Fiber Optic,0
53,61.23,3205.95,Month-to-Month,UPI AutoPay,No,1
51,113.47,5862.97,One Year,Credit Card,DSL,0
31,45.09,1378.65,Month-to-Month,Credit Card,DSL,0
25,32.04,773.99,Month-to-Month,Debit Card,DSL,0
29,78.45,2297.69,Month-to-Month,UPI AutoPay,No,0
19,116.93,2136.43,Month-to-Month,Credit Card,Fiber Optic,1
15,57.78,949.67,Two Year,Debit Card,DSL,0
35,26.2,963.22,One Year,UPI AutoPay,No,0
20,53.93,1041.23,Two Year,Electronic Check,No,0
21,70.59,1611.98,Two Year,Debit Card,No,0
47,36.19,1611.08,One Year,Credit Card,No,0
69,85.81,6099.44,Two Year,Credit Card,DSL,0
43,119.77,5268.57,Month-to-Month,Debit Card,Fiber Optic,1
6,65.17,387.73,Month-to-Month,Debit Card,Fiber Optic,1
6,55.47,351.18,Month-to-Month,Credit Card,No,0
68,60.07,4107.16,Month-to-Month,Electronic Check,Fiber Optic,0
22,31.51,818.74,Month-to-Month,UPI AutoPay,Fiber Optic,0
7,108.33,708.77,Month-to-Month,Electronic Check,Fiber Optic,0
43,61.48,2600.22,Two Year,Debit Card,DSL,0
45,58.73,2762.75,Month-to-Month,Electronic Check,Fiber Optic,0
47,85.97,3984.76,Month-to-Month,Credit Card,No,1
19,64.2,1373.19,Month-to-Month,Debit Card,No,1
2,84.82,345.77,Month-to-Month,UPI AutoPay,DSL,0
69,26.14,1777.29,Two Year,Credit Card,DSL,0
18,101.37,1975.3,Month-to-Month,Credit Card,DSL,1
48,114.05,5472.86,Two Year,UPI AutoPay,Fiber Optic,0
51,84.88,4418.67,One Year,UPI AutoPay,No,0
44,115.46,5135.88,Month-to-Month,Electronic Check,DSL,1
23,35.14,863.2,Month-to-Month,Debit Card,Fiber Optic,1
20,67.74,1307.06,Two Year,UPI AutoPay,No,0
43,80.18,3316.49,One Year,UPI AutoPay,Fiber Optic,0
62,78.17,4935.62,One Year,Debit Card,Fiber Optic,0
68,60.15,3896.72,One Year,UPI AutoPay,Fiber Optic,0
8,53.81,426.68,Month-to-Month,UPI AutoPay,Fiber Optic,1
11,32.68,486.07,Month-to-Month,Electronic Check,DSL,0
68,59.17,4047.55,Month-to-Month,Credit Card,Fiber Optic,0
53,36.27,2127.6,Two Year,Credit Card,Fiber Optic,0
63,93.44,6053.73,One Year,Credit Card,No,0
15,40.88,563.67,Month-to-Month,Credit Card,Fiber Optic,0
42,25.86,1107.29,Month-to-Month,UPI AutoPay,Fiber Optic,0
50,75.24,3815.85,Month-to-Month,Debit Card,DSL,0
49,79.52,3761.31,Month-to-Month,Debit Card,Fiber Optic,0
29,107.19,3119.42,One Year,Electronic Check,DSL,0
2,77.7,106.55,One Year,Electronic Check,DSL,0
42,54.55,2108.55,Two Year,UPI AutoPay,Fiber Optic,0
18,100.3,1907.48,Month-to-Month,Debit Card,No,1
32,74.03,2415.65,Month-to-Month,Debit Card,DSL,1
68,27.93,1759.42,One Year,Credit Card,Fiber Optic,0
29,76.59,2286.78,One Year,UPI AutoPay,No,0
60,110.8,6789.05,One Year,UPI AutoPay,DSL,0
14,59.63,880.58,One Year,Credit Card,Fiber Optic,0
48,49.63,2386.92,Month-to-Month,UPI AutoPay,Fiber Optic,0
70,34.35,2476.05,Month-to-Month,UPI AutoPay,Fiber Optic,0
8,35.14,357.42,Month-to-Month,Electronic Check,DSL,0
1,63.28,131.4,Month-to-Month,Debit Card,Fiber Optic,1
31,79.57,2446.56,Month-to-Month,UPI AutoPay,Fiber Optic,0
7,28.06,240.27,Month-to-Month,Electronic Check,Fiber Optic,1
54,113.96,6288.64,One Year,Debit Card,DSL,0
65,95.51,6237.82,Month-to-Month,Credit Card,Fiber Optic,0
31,78.66,2712.48,Month-to-Month,Electronic Check,DSL,0
19,102.84,1939.37,Two Year,Electronic Check,Fiber Optic,0
31,28.02,895.43,Month-to-Month,Debit Card,DSL,0
52,67.68,3477.0,Month-to-Month,Credit Card,No,0
1,83.01,158.7,One Year,Electronic Check,Fiber Optic,1
42,102.87,4233.68,Month-to-Month,UPI AutoPay,DSL,0
44,98.35,4326.13,Month-to-Month,UPI AutoPay,DSL,0
46,47.71,2098.47,Month-to-Month,UPI AutoPay,DSL,0
18,114.09,2088.06,Month-to-Month,Credit Card,No,1
51,32.43,1776.24,Two Year,Electronic Check,No,0
7,107.51,869.75,Two Year,UPI AutoPay,Fiber Optic,0
15,117.09,1536.6,One Year,Credit Card,Fiber Optic,0
63,37.72,2591.6,Two Year,UPI AutoPay,Fiber Optic,0
53,92.21,4957.91,Two Year,Debit Card,No,0
1,24.03,0.0,Month-to-Month,Electronic Check,Fiber Optic,1
18,60.54,1143.9,Two Year,Electronic Check,Fiber Optic,0
16,71.63,1179.64,Month-to-Month,Credit Card,Fiber Optic,1
20,78.06,1512.35,Two Year,Credit Card,Fiber Optic,0
18,113.59,2129.99,Two Year,Electronic Check,DSL,0
5,87.23,413.7,Month-to-Month,UPI AutoPay,Fiber Optic,0
33,68.13,2247.62,Month-to-Month,UPI AutoPay,Fiber Optic,0
53,100.97,5285.08,Month-to-Month,Debit Card,Fiber Optic,0
44,115.05,4928.05,Month-to-Month,UPI AutoPay,DSL,0
48,22.21,1097.69,Two Year,Credit Card,Fiber Optic,0
6,118.25,858.1,Two Year,Credit Card,Fiber Optic,0
68,28.61,2013.09,Month-to-Month,UPI AutoPay,Fiber Optic,0
60,101.44,6222.37,Month-to-Month,Credit Card,DSL,0
58,48.03,2826.13,Month-to-Month,Electronic Check,Fiber Optic,1
59,33.22,1920.93,Month-to-Month,Electronic Check,Fiber Optic,0
67,63.99,4385.23,Month-to-Month,UPI AutoPay,Fiber Optic,0
39,84.4,3209.86,Month-to-Month,Electronic Check,Fiber Optic,1
15,58.1,794.14,Two Year,Electronic Check,Fiber Optic,0
44,25.46,1043.82,Month-to-Month,Debit Card,No,0
53,79.95,4404.68,Month-to-Month,Debit Card,DSL,0
53,110.24,5980.25,One Year,Electronic Check,No,1
