age,annual_spend,visit_frequency,avg_transaction,segment
64,6861.14,32,214.41,3
37,5092.29,22,231.47,2
23,1365.82,4,341.46,0
40,1358.81,8,169.85,1
19,259.8,1,259.8,0
51,10093.18,45,224.29,3
36,2267.04,9,251.89,1
41,10635.85,30,354.53,3
41,1226.26,15,81.75,1
44,4875.27,28,174.12,2
44,3216.64,22,146.21,2
33,756.64,7,108.09,0
19,951.76,1,951.76,0
37,3011.76,24,125.49,2
18,1157.32,7,165.33,0
28,634.52,3,211.51,0
37,1495.15,12,124.6,1
54,5956.8,22,270.76,2
39,5847.84,18,324.88,2
33,1413.04,9,157.0,1
32,3400.64,9,377.85,1
51,3557.33,13,273.64,2
43,3507.49,20,175.37,2
30,2032.26,8,254.03,1
25,892.4,3,297.47,0
27,325.68,7,46.53,0
39,4631.36,22,210.52,2
44,1774.94,12,147.91,1
44,2083.68,6,347.28,1
25,3447.75,16,215.48,1
32,1718.38,11,156.22,1
46,4943.16,20,247.16,2
46,5950.02,17,350.0,2
42,5479.17,22,249.05,2
44,3224.72,9,358.3,1
37,1628.77,14,116.34,1
43,2544.23,14,181.73,1
31,1487.66,4,371.91,0
34,1277.31,10,127.73,1
53,5151.79,21,245.32,2
43,7818.7,36,217.19,3
24,829.88,5,165.98,0
52,6544.64,35,186.99,3
36,2053.7,12,171.14,1
41,6741.9,40,168.55,3
27,1415.87,18,78.66,1
31,2877.1,17,169.24,1
26,742.63,2,371.32,0
18,1039.11,6,173.19,0
26,254.04,4,63.51,0
50,3146.3,25,125.85,2
51,7151.96,40,178.8,3
30,2025.05,9,225.01,1
27,1046.85,3,348.95,0
58,6729.4,36,186.93,3
36,2413.02,13,185.62,1
53,7478.0,27,276.96,3
62,11479.16,36,318.87,3
50,7669.08,32,239.66,3
29,2904.08,11,264.01,1
27,2869.75,17,168.81,1
19,470.25,1,470.25,0
34,732.13,3,244.04,0
21,802.81,3,267.6,0
26,1062.77,4,265.69,0
51,11930.32,24,497.1,3
18,1269.38,2,634.69,0
38,1674.38,8,209.3,1
44,1511.0,12,125.92,1
41,3094.33,11,281.3,1
